#
# [ASteCA v0.4.3-dev]
#
# Created:  [2022-06-13 10:42:06]
# Modified: [2022-06-13 16:10:26]
#
# NAME     : Cluster's name
# c_x      : x center coordinate
# c_y      : y center coordinate
# r_cl     : radius
# r_c      : Core radius (King profile)
# r_t      : Tidal radius (King profile)
# ell      : Ellipticity
# theta    : Rotation angle
# CI       : Contamination index
# n_memb_k : Number of members obtained integrating the fitted King profile
# n_memb   : Number of members assuming a uniform background
# a_f      : Fraction of cluster's area that is present in frame
#
# Parameter values are in the sense: mean, median, mode, 16th percentile,
# 84th percentile, and STDDEV.
#
# M  : total initial mass
# z  : metallicity
# a  : log(age)
# bf : binary fraction
# B  : beta
# Av : Visual absorption
# DR : differential reddening
# Rv : ratio of total to selective absorption
# dm : distance modulus
#
NAME,c_x,c_y,r_cl,r_c_mean,r_c_median,r_c_mode,r_c_16th,r_c_84th,r_c_std,r_t_mean,r_t_median,r_t_mode,r_t_16th,r_t_84th,r_t_std,ell_mean,ell_median,ell_mode,ell_16th,ell_84th,ell_std,theta_mean,theta_median,theta_mode,theta_16th,theta_84th,theta_std,CI,n_memb_k,n_memb,a_f,M_mean,M_median,M_mode,M_16th,M_84th,M_std,z_mean,z_median,z_mode,z_16th,z_84th,z_std,a_mean,a_median,a_mode,a_16th,a_84th,a_std,bf_mean,bf_median,bf_mode,bf_16th,bf_84th,bf_std,B_mean,B_median,B_mode,B_16th,B_84th,B_std,Av_mean,Av_median,Av_mode,Av_16th,Av_84th,Av_std,DR_mean,DR_median,DR_mode,DR_16th,DR_84th,DR_std,Rv_mean,Rv_median,Rv_mode,Rv_16th,Rv_84th,Rv_std,dm_mean,dm_median,dm_mode,dm_16th,dm_84th,dm_std
KP_synth_1/0.0400_0.2000_-0.7854_23_0,0.022196,-0.020847,0.918595,0.677187,0.649581,0.598652,0.474766,0.898143,0.201501,1.276455,1.233115,1.181095,1.090894,1.459668,0.220409,0.191780,0.181227,0.143991,0.066285,0.316938,0.113940,-0.884791,nan,-1.132830,nan,nan,0.782292,0.56,240,207,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.2000_-0.7854_26_1,0.022196,-0.020847,0.853754,0.400694,0.372223,0.337318,0.279212,0.520108,0.137435,1.584963,1.537268,1.460594,1.222294,1.961855,0.360891,0.186758,0.179650,0.147023,0.061722,0.308400,0.111987,-0.596233,nan,-0.673564,nan,nan,0.586255,0.54,220,195,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.2000_-1.5708_18_0,0.022196,-0.019160,0.830116,0.505004,0.472372,0.428853,0.352347,0.665884,0.163763,1.421913,1.372074,1.269855,1.155749,1.710617,0.277727,0.364146,0.376392,0.393167,0.257762,0.469507,0.106976,0.917014,nan,1.401885,nan,nan,1.238076,0.53,280,192,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.2000_-1.5708_32_1,0.062582,0.061612,0.868435,0.424010,0.396438,0.357798,0.301072,0.546598,0.134517,1.493655,1.440405,1.376505,1.192761,1.800457,0.320033,0.259964,0.266767,0.289324,0.113154,0.393188,0.128306,-0.936916,nan,-1.376315,nan,nan,1.118648,0.55,247,199,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.2000_0.0000_21_1,-0.019838,0.021226,0.857350,0.631278,0.592901,0.515259,0.417787,0.873126,0.214017,1.357831,1.288982,1.205282,1.094199,1.630445,0.297078,0.170778,0.159401,0.081372,0.047253,0.292170,0.111988,-0.039061,nan,-0.078366,nan,nan,0.507433,0.54,217,199,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.2000_0.0000_38_0,0.022196,0.019539,0.927656,0.714325,0.691025,0.575632,0.483089,0.957332,0.220331,1.421029,1.346488,1.256951,1.157798,1.683211,0.302402,0.173342,0.161299,0.120975,0.055376,0.290755,0.109273,-0.118778,nan,-0.115508,nan,nan,0.522221,0.56,230,214,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.2000_0.7854_34_0,-0.019838,0.021226,0.943287,0.516004,0.472362,0.427555,0.352057,0.686369,0.185251,1.624931,1.547974,1.423809,1.272161,1.993072,0.372316,0.160717,0.147345,0.106955,0.053336,0.270895,0.103991,0.422066,nan,0.768760,nan,nan,0.782993,0.57,228,213,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.2000_0.7854_34_1,0.022196,0.101998,0.924260,0.492978,0.456396,0.402185,0.337483,0.660283,0.167657,1.511897,1.450602,1.332039,1.174307,1.859062,0.360871,0.129396,0.111854,0.066997,0.035454,0.226247,0.092185,-0.192919,nan,-0.423511,nan,nan,0.752838,0.58,210,200,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.2000_1.5708_29_0,-0.019838,0.061612,0.898031,0.819251,0.814860,0.798091,0.573687,1.069947,0.226451,1.349873,1.318689,1.296469,1.179193,1.507849,0.199561,0.360869,0.375897,0.403621,0.255273,0.465662,0.112000,-1.224971,nan,-1.369413,nan,nan,0.941055,0.56,301,205,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.2000_1.5708_38_1,0.022196,-0.061233,0.888450,0.404954,0.368143,0.326779,0.275509,0.533257,0.152141,1.682342,1.631850,1.577855,1.307702,2.068712,0.364277,0.197885,0.193242,0.186145,0.077665,0.315959,0.111772,-0.780100,nan,-1.176861,nan,nan,0.930431,0.54,235,209,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.3500_-0.7854_25_1,0.022196,0.019539,0.868917,0.503045,0.463710,0.400759,0.329629,0.691331,0.181755,1.346842,1.271867,1.166245,1.053429,1.655595,0.326443,0.279762,0.287767,0.302048,0.166027,0.390220,0.109129,-0.646687,nan,-0.621596,nan,nan,0.319441,0.55,242,196,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.3500_-0.7854_31_0,0.020548,0.021226,0.843709,0.770585,0.760110,0.697789,0.553367,0.990828,0.204317,1.291930,1.255616,1.219059,1.116784,1.465049,0.197704,0.476504,0.483729,0.490038,0.407111,0.546569,0.073822,-0.989580,nan,-0.991785,nan,nan,0.105753,0.53,356,200,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.3500_-1.5708_12_1,0.022196,0.021226,0.848647,0.701769,0.687352,0.623172,0.502113,0.906624,0.191892,1.263175,1.246453,1.247800,1.083604,1.423055,0.188189,0.514564,0.520496,0.528261,0.440962,0.585353,0.068895,1.353694,nan,1.507349,nan,nan,1.177428,0.54,387,192,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
